image_name,piece_0_0,piece_0_1,piece_0_2,piece_0_3,piece_0_4,piece_1_0,piece_1_1,piece_1_2,piece_1_3,piece_1_4,piece_2_0,piece_2_1,piece_2_2,piece_2_3,piece_2_4,piece_3_0,piece_3_1,piece_3_2,piece_3_3,piece_3_4,piece_4_0,piece_4_1,piece_4_2,piece_4_3,piece_4_4
1556.jpg,"(4, 2)","(3, 1)","(0, 0)","(4, 4)","(2, 3)","(2, 1)","(0, 1)","(1, 0)","(1, 4)","(0, 2)","(2, 1)","(0, 1)","(1, 0)","(1, 4)","(0, 2)","(2, 4)","(1, 3)","(0, 3)","(4, 0)","(2, 2)","(3, 4)","(0, 0)","(4, 1)","(1, 1)","(1, 2)"
1557.jpg,"(1, 0)","(4, 2)","(0, 0)","(1, 4)","(1, 3)","(0, 0)","(2, 4)","(3, 3)","(3, 1)","(3, 2)","(0, 0)","(2, 4)","(3, 3)","(3, 1)","(3, 2)","(4, 1)","(1, 2)","(2, 1)","(0, 0)","(0, 1)","(3, 0)","(2, 3)","(0, 2)","(4, 0)","(4, 3)"
1558.jpg,"(3, 1)","(0, 2)","(3, 4)","(2, 3)","(3, 2)","(2, 0)","(3, 3)","(1, 2)","(2, 2)","(4, 2)","(2, 0)","(3, 3)","(1, 2)","(2, 2)","(4, 2)","(4, 1)","(1, 1)","(1, 0)","(1, 3)","(4, 0)","(1, 4)","(0, 1)","(0, 0)","(4, 3)","(0, 3)"
1559.jpg,"(0, 1)","(0, 0)","(3, 2)","(4, 3)","(4, 0)","(2, 1)","(3, 1)","(2, 4)","(3, 3)","(1, 0)","(2, 1)","(3, 1)","(2, 4)","(3, 3)","(1, 0)","(4, 4)","(4, 2)","(1, 1)","(0, 0)","(0, 2)","(1, 3)","(1, 4)","(2, 0)","(0, 0)","(4, 1)"
1560.jpg,"(0, 0)","(2, 2)","(4, 2)","(0, 0)","(0, 0)","(4, 1)","(1, 1)","(1, 2)","(4, 3)","(3, 1)","(4, 1)","(1, 1)","(1, 2)","(4, 3)","(3, 1)","(1, 3)","(3, 0)","(0, 4)","(2, 1)","(0, 2)","(0, 3)","(0, 0)","(2, 0)","(0, 0)","(3, 3)"
1561.jpg,"(1, 1)","(2, 3)","(2, 2)","(0, 0)","(3, 2)","(3, 3)","(0, 4)","(4, 3)","(4, 0)","(4, 2)","(3, 3)","(0, 4)","(4, 3)","(4, 0)","(4, 2)","(0, 3)","(0, 0)","(1, 0)","(1, 2)","(0, 0)","(0, 1)","(3, 1)","(2, 1)","(0, 0)","(1, 3)"
1562.jpg,"(2, 2)","(4, 2)","(0, 2)","(3, 2)","(3, 1)","(3, 3)","(0, 3)","(4, 3)","(2, 4)","(0, 0)","(3, 3)","(0, 3)","(4, 3)","(2, 4)","(0, 0)","(3, 4)","(1, 3)","(1, 2)","(1, 1)","(0, 1)","(2, 3)","(1, 4)","(4, 1)","(4, 0)","(1, 0)"
1563.jpg,"(0, 3)","(4, 1)","(2, 3)","(1, 0)","(3, 0)","(0, 4)","(4, 2)","(3, 3)","(2, 2)","(0, 0)","(0, 4)","(4, 2)","(3, 3)","(2, 2)","(0, 0)","(1, 3)","(1, 0)","(3, 1)","(1, 4)","(4, 0)","(3, 2)","(2, 1)","(4, 4)","(0, 0)","(2, 4)"
1564.jpg,"(1, 3)","(4, 0)","(3, 0)","(2, 1)","(4, 3)","(2, 2)","(3, 2)","(1, 4)","(2, 4)","(0, 0)","(2, 2)","(3, 2)","(1, 4)","(2, 4)","(0, 0)","(0, 3)","(3, 1)","(2, 0)","(1, 1)","(1, 2)","(0, 1)","(3, 4)","(1, 0)","(4, 2)","(0, 2)"
1565.jpg,"(2, 4)","(0, 3)","(0, 0)","(1, 1)","(2, 0)","(4, 1)","(3, 0)","(0, 2)","(2, 3)","(2, 1)","(4, 1)","(3, 0)","(0, 2)","(2, 3)","(2, 1)","(3, 1)","(4, 2)","(1, 4)","(1, 3)","(0, 0)","(3, 3)","(0, 1)","(3, 4)","(4, 3)","(4, 4)"
1566.jpg,"(2, 3)","(2, 0)","(3, 4)","(1, 4)","(1, 1)","(4, 4)","(1, 0)","(3, 2)","(4, 0)","(4, 3)","(4, 4)","(1, 0)","(3, 2)","(4, 0)","(4, 3)","(2, 1)","(0, 0)","(0, 3)","(3, 3)","(1, 3)","(3, 1)","(4, 2)","(0, 2)","(2, 2)","(4, 1)"
1567.jpg,"(1, 0)","(1, 2)","(4, 3)","(2, 1)","(0, 0)","(0, 3)","(3, 1)","(0, 0)","(0, 2)","(3, 2)","(0, 3)","(3, 1)","(0, 0)","(0, 2)","(3, 2)","(0, 0)","(0, 0)","(2, 2)","(1, 3)","(4, 1)","(0, 0)","(2, 0)","(3, 3)","(3, 0)","(4, 2)"
1568.jpg,"(2, 4)","(1, 2)","(3, 1)","(0, 1)","(4, 1)","(4, 2)","(3, 0)","(4, 0)","(3, 4)","(3, 3)","(4, 2)","(3, 0)","(4, 0)","(3, 4)","(3, 3)","(2, 1)","(1, 4)","(0, 3)","(3, 2)","(1, 3)","(0, 0)","(2, 0)","(4, 3)","(1, 1)","(1, 0)"
1569.jpg,"(4, 0)","(3, 2)","(0, 1)","(2, 3)","(3, 3)","(4, 0)","(2, 1)","(0, 0)","(4, 4)","(1, 0)","(4, 0)","(2, 1)","(0, 0)","(4, 4)","(1, 0)","(2, 2)","(2, 0)","(4, 0)","(0, 0)","(4, 1)","(0, 0)","(0, 3)","(3, 1)","(0, 2)","(1, 1)"
1570.jpg,"(4, 3)","(1, 3)","(3, 3)","(0, 3)","(0, 1)","(3, 2)","(0, 4)","(1, 2)","(4, 2)","(2, 4)","(3, 2)","(0, 4)","(1, 2)","(4, 2)","(2, 4)","(2, 1)","(4, 4)","(2, 3)","(3, 0)","(1, 1)","(2, 2)","(0, 0)","(0, 0)","(4, 3)","(3, 0)"
1571.jpg,"(1, 1)","(4, 1)","(0, 0)","(2, 1)","(0, 0)","(2, 4)","(1, 4)","(4, 0)","(3, 1)","(1, 0)","(2, 4)","(1, 4)","(4, 0)","(3, 1)","(1, 0)","(0, 0)","(3, 3)","(1, 3)","(0, 3)","(2, 2)","(1, 2)","(3, 0)","(4, 3)","(4, 2)","(0, 0)"
1572.jpg,"(4, 3)","(1, 2)","(2, 2)","(3, 2)","(0, 0)","(4, 4)","(3, 3)","(2, 1)","(0, 0)","(4, 1)","(4, 4)","(3, 3)","(2, 1)","(0, 0)","(4, 1)","(0, 2)","(1, 1)","(0, 3)","(0, 1)","(3, 0)","(2, 0)","(3, 1)","(0, 0)","(1, 3)","(0, 0)"
1573.jpg,"(1, 1)","(0, 2)","(3, 3)","(3, 2)","(0, 3)","(3, 1)","(4, 4)","(2, 3)","(2, 2)","(3, 4)","(3, 1)","(4, 4)","(2, 3)","(2, 2)","(3, 4)","(4, 3)","(1, 3)","(2, 0)","(1, 2)","(0, 4)","(0, 0)","(1, 4)","(4, 1)","(2, 1)","(4, 2)"
1574.jpg,"(1, 4)","(3, 3)","(4, 4)","(0, 3)","(3, 4)","(4, 3)","(1, 1)","(1, 0)","(3, 1)","(0, 0)","(4, 3)","(1, 1)","(1, 0)","(3, 1)","(0, 0)","(4, 0)","(0, 2)","(0, 1)","(4, 1)","(1, 2)","(4, 2)","(2, 1)","(0, 4)","(2, 3)","(3, 2)"
1575.jpg,"(0, 4)","(1, 2)","(2, 4)","(2, 3)","(2, 2)","(3, 4)","(3, 0)","(3, 1)","(0, 3)","(0, 2)","(3, 4)","(3, 0)","(3, 1)","(0, 3)","(0, 2)","(0, 0)","(4, 4)","(4, 3)","(2, 1)","(0, 1)","(1, 3)","(3, 2)","(4, 2)","(3, 0)","(3, 3)"
1576.jpg,"(0, 0)","(3, 2)","(3, 1)","(1, 3)","(0, 1)","(0, 0)","(2, 3)","(2, 1)","(4, 2)","(0, 0)","(0, 0)","(2, 3)","(2, 1)","(4, 2)","(0, 0)","(1, 1)","(2, 0)","(4, 1)","(4, 3)","(1, 0)","(0, 4)","(0, 0)","(3, 3)","(0, 0)","(2, 2)"
1577.jpg,"(0, 3)","(4, 0)","(0, 1)","(4, 3)","(2, 0)","(3, 1)","(3, 2)","(2, 2)","(0, 0)","(3, 3)","(3, 1)","(3, 2)","(2, 2)","(0, 0)","(3, 3)","(1, 2)","(4, 1)","(2, 1)","(3, 4)","(1, 1)","(2, 3)","(4, 2)","(3, 0)","(0, 0)","(0, 2)"
1578.jpg,"(4, 2)","(3, 3)","(3, 2)","(4, 4)","(0, 4)","(1, 0)","(2, 2)","(4, 1)","(1, 2)","(1, 0)","(1, 0)","(2, 2)","(4, 1)","(1, 2)","(1, 0)","(1, 0)","(2, 3)","(0, 0)","(1, 0)","(3, 1)","(0, 2)","(2, 4)","(2, 1)","(3, 4)","(0, 3)"
1579.jpg,"(1, 0)","(0, 2)","(3, 1)","(2, 3)","(2, 1)","(0, 3)","(4, 4)","(1, 1)","(4, 2)","(1, 4)","(0, 3)","(4, 4)","(1, 1)","(4, 2)","(1, 4)","(0, 0)","(3, 3)","(1, 2)","(3, 2)","(0, 0)","(1, 3)","(0, 4)","(0, 1)","(4, 3)","(4, 1)"
1580.jpg,"(2, 3)","(4, 1)","(1, 1)","(0, 3)","(4, 2)","(1, 0)","(1, 3)","(3, 4)","(0, 4)","(3, 3)","(1, 0)","(1, 3)","(3, 4)","(0, 4)","(3, 3)","(4, 3)","(2, 2)","(3, 2)","(2, 4)","(1, 2)","(0, 1)","(4, 4)","(3, 1)","(0, 0)","(4, 0)"
1581.jpg,"(3, 4)","(2, 0)","(2, 3)","(0, 2)","(4, 2)","(1, 3)","(0, 0)","(2, 2)","(2, 1)","(4, 0)","(1, 3)","(0, 0)","(2, 2)","(2, 1)","(4, 0)","(3, 2)","(1, 2)","(0, 4)","(4, 1)","(0, 0)","(0, 0)","(4, 3)","(0, 3)","(2, 4)","(1, 1)"
1582.jpg,"(1, 2)","(1, 4)","(3, 0)","(4, 3)","(0, 0)","(0, 1)","(3, 1)","(4, 2)","(2, 4)","(3, 3)","(0, 1)","(3, 1)","(4, 2)","(2, 4)","(3, 3)","(4, 1)","(3, 2)","(0, 3)","(0, 4)","(1, 0)","(1, 1)","(0, 0)","(4, 4)","(2, 0)","(2, 3)"
1583.jpg,"(3, 1)","(1, 2)","(4, 3)","(3, 2)","(2, 1)","(1, 3)","(4, 0)","(0, 0)","(0, 3)","(0, 0)","(1, 3)","(4, 0)","(0, 0)","(0, 3)","(0, 0)","(2, 4)","(1, 1)","(0, 0)","(3, 4)","(2, 3)","(2, 2)","(0, 1)","(4, 4)","(3, 3)","(4, 1)"
1584.jpg,"(0, 3)","(2, 0)","(1, 2)","(0, 0)","(4, 3)","(2, 1)","(2, 2)","(0, 0)","(4, 1)","(0, 0)","(2, 1)","(2, 2)","(0, 0)","(4, 1)","(0, 0)","(2, 3)","(3, 3)","(0, 1)","(0, 2)","(1, 3)","(0, 0)","(1, 1)","(4, 2)","(3, 0)","(3, 1)"
1585.jpg,"(0, 3)","(1, 2)","(2, 1)","(4, 0)","(3, 2)","(2, 4)","(1, 0)","(1, 4)","(2, 0)","(4, 3)","(2, 4)","(1, 0)","(1, 4)","(2, 0)","(4, 3)","(3, 3)","(0, 2)","(4, 2)","(2, 2)","(3, 1)","(1, 3)","(0, 0)","(0, 0)","(4, 2)","(2, 3)"
1586.jpg,"(0, 2)","(1, 2)","(4, 3)","(2, 4)","(2, 1)","(4, 4)","(2, 2)","(4, 2)","(0, 4)","(1, 2)","(4, 4)","(2, 2)","(4, 2)","(0, 4)","(1, 2)","(1, 0)","(1, 3)","(1, 1)","(0, 1)","(1, 0)","(3, 4)","(4, 0)","(0, 3)","(3, 2)","(1, 4)"
1587.jpg,"(1, 2)","(2, 0)","(0, 0)","(1, 1)","(2, 1)","(4, 3)","(1, 0)","(2, 3)","(2, 2)","(0, 0)","(4, 3)","(1, 0)","(2, 3)","(2, 2)","(0, 0)","(3, 4)","(0, 2)","(1, 3)","(4, 4)","(0, 3)","(1, 4)","(4, 1)","(0, 0)","(3, 1)","(2, 4)"
1588.jpg,"(0, 3)","(1, 0)","(2, 2)","(3, 1)","(0, 4)","(4, 1)","(0, 0)","(3, 0)","(1, 1)","(4, 2)","(4, 1)","(0, 0)","(3, 0)","(1, 1)","(4, 2)","(3, 2)","(0, 4)","(1, 2)","(4, 0)","(4, 3)","(2, 3)","(0, 0)","(2, 1)","(0, 2)","(3, 3)"
1589.jpg,"(3, 4)","(4, 4)","(4, 0)","(4, 3)","(2, 1)","(1, 1)","(0, 0)","(0, 1)","(1, 2)","(2, 4)","(1, 1)","(0, 0)","(0, 1)","(1, 2)","(2, 4)","(2, 3)","(0, 0)","(1, 3)","(0, 4)","(4, 1)","(2, 4)","(2, 2)","(4, 0)","(4, 2)","(3, 1)"
1590.jpg,"(2, 0)","(0, 4)","(4, 2)","(4, 3)","(3, 3)","(4, 4)","(3, 4)","(2, 1)","(4, 0)","(2, 2)","(4, 4)","(3, 4)","(2, 1)","(4, 0)","(2, 2)","(1, 1)","(0, 2)","(0, 0)","(0, 1)","(1, 2)","(1, 4)","(3, 2)","(1, 3)","(1, 0)","(2, 3)"
1591.jpg,"(0, 4)","(3, 3)","(4, 4)","(1, 1)","(0, 0)","(1, 4)","(1, 3)","(0, 1)","(4, 2)","(3, 2)","(1, 4)","(1, 3)","(0, 1)","(4, 2)","(3, 2)","(2, 1)","(2, 3)","(2, 0)","(4, 1)","(1, 2)","(4, 0)","(0, 2)","(3, 0)","(3, 4)","(3, 1)"
1592.jpg,"(2, 0)","(1, 2)","(0, 0)","(0, 1)","(3, 3)","(4, 1)","(1, 0)","(2, 4)","(1, 1)","(4, 2)","(4, 1)","(1, 0)","(2, 4)","(1, 1)","(4, 2)","(3, 0)","(4, 4)","(4, 0)","(4, 3)","(1, 4)","(0, 2)","(2, 1)","(2, 2)","(3, 4)","(0, 3)"
1593.jpg,"(1, 3)","(0, 2)","(4, 1)","(2, 1)","(2, 3)","(0, 4)","(0, 0)","(4, 4)","(0, 0)","(1, 2)","(0, 4)","(0, 0)","(4, 4)","(0, 0)","(1, 2)","(3, 2)","(3, 1)","(3, 3)","(2, 2)","(0, 0)","(1, 0)","(4, 2)","(2, 4)","(0, 0)","(4, 3)"
1594.jpg,"(0, 2)","(0, 0)","(3, 3)","(1, 2)","(1, 1)","(2, 2)","(0, 0)","(4, 0)","(3, 2)","(4, 3)","(2, 2)","(0, 0)","(4, 0)","(3, 2)","(4, 3)","(3, 1)","(0, 3)","(2, 3)","(3, 0)","(2, 4)","(4, 1)","(0, 4)","(3, 4)","(2, 0)","(0, 0)"
1595.jpg,"(1, 0)","(3, 2)","(1, 4)","(2, 3)","(2, 4)","(4, 2)","(2, 1)","(4, 4)","(0, 0)","(2, 0)","(4, 2)","(2, 1)","(4, 4)","(0, 0)","(2, 0)","(4, 1)","(0, 3)","(0, 1)","(0, 0)","(2, 2)","(0, 0)","(1, 2)","(3, 3)","(3, 1)","(1, 3)"
1596.jpg,"(2, 0)","(0, 3)","(3, 2)","(3, 1)","(1, 1)","(2, 1)","(2, 2)","(4, 1)","(1, 0)","(4, 3)","(2, 1)","(2, 2)","(4, 1)","(1, 0)","(4, 3)","(4, 0)","(4, 4)","(1, 3)","(3, 3)","(2, 3)","(4, 2)","(0, 2)","(3, 4)","(3, 0)","(2, 4)"
1597.jpg,"(3, 2)","(4, 1)","(0, 0)","(0, 0)","(1, 2)","(2, 1)","(1, 4)","(4, 0)","(3, 3)","(3, 0)","(2, 1)","(1, 4)","(4, 0)","(3, 3)","(3, 0)","(3, 1)","(2, 2)","(0, 3)","(4, 3)","(1, 1)","(0, 2)","(1, 0)","(1, 3)","(2, 3)","(0, 4)"
1598.jpg,"(1, 4)","(2, 0)","(0, 3)","(1, 0)","(3, 2)","(3, 1)","(3, 4)","(1, 3)","(0, 0)","(3, 0)","(3, 1)","(3, 4)","(1, 3)","(0, 0)","(3, 0)","(1, 2)","(4, 1)","(4, 2)","(0, 1)","(2, 2)","(4, 3)","(2, 1)","(0, 0)","(0, 2)","(2, 3)"
1599.jpg,"(0, 2)","(2, 3)","(4, 0)","(1, 0)","(0, 1)","(0, 0)","(2, 2)","(3, 1)","(3, 2)","(3, 0)","(0, 0)","(2, 2)","(3, 1)","(3, 2)","(3, 0)","(4, 0)","(1, 3)","(3, 3)","(1, 4)","(2, 4)","(0, 0)","(4, 2)","(4, 3)","(1, 1)","(2, 0)"
1600.jpg,"(4, 1)","(4, 2)","(1, 3)","(3, 1)","(3, 3)","(0, 4)","(1, 0)","(3, 4)","(2, 1)","(1, 4)","(0, 4)","(1, 0)","(3, 4)","(2, 1)","(1, 4)","(4, 3)","(0, 0)","(2, 3)","(4, 0)","(0, 3)","(0, 4)","(0, 1)","(2, 2)","(2, 0)","(0, 2)"
1601.jpg,"(3, 2)","(0, 1)","(4, 2)","(1, 4)","(0, 3)","(3, 3)","(1, 2)","(2, 4)","(0, 0)","(4, 4)","(3, 3)","(1, 2)","(2, 4)","(0, 0)","(4, 4)","(0, 2)","(2, 2)","(3, 1)","(2, 0)","(2, 1)","(4, 1)","(1, 3)","(1, 1)","(1, 0)","(2, 3)"
1602.jpg,"(3, 3)","(2, 4)","(2, 3)","(4, 2)","(0, 1)","(1, 0)","(4, 3)","(4, 4)","(2, 1)","(1, 2)","(1, 0)","(4, 3)","(4, 4)","(2, 1)","(1, 2)","(0, 0)","(1, 4)","(3, 2)","(1, 3)","(4, 1)","(2, 2)","(3, 1)","(2, 0)","(1, 1)","(4, 0)"
1603.jpg,"(2, 2)","(1, 0)","(4, 3)","(4, 0)","(4, 4)","(0, 1)","(0, 3)","(0, 2)","(2, 1)","(0, 0)","(0, 1)","(0, 3)","(0, 2)","(2, 1)","(0, 0)","(4, 2)","(4, 1)","(0, 0)","(3, 1)","(2, 3)","(1, 4)","(2, 0)","(3, 2)","(1, 3)","(3, 0)"
1604.jpg,"(0, 1)","(1, 0)","(0, 2)","(4, 2)","(3, 4)","(1, 2)","(3, 2)","(2, 0)","(0, 0)","(1, 1)","(1, 2)","(3, 2)","(2, 0)","(0, 0)","(1, 1)","(3, 3)","(4, 3)","(3, 0)","(2, 2)","(2, 3)","(3, 1)","(0, 3)","(2, 1)","(0, 0)","(1, 3)"
1605.jpg,"(3, 4)","(2, 0)","(2, 2)","(4, 2)","(1, 4)","(4, 4)","(4, 3)","(0, 1)","(1, 2)","(2, 1)","(4, 4)","(4, 3)","(0, 1)","(1, 2)","(2, 1)","(0, 3)","(3, 3)","(3, 1)","(2, 4)","(4, 1)","(3, 2)","(1, 0)","(1, 1)","(1, 3)","(0, 2)"
1606.jpg,"(3, 4)","(4, 1)","(3, 1)","(0, 2)","(3, 0)","(0, 4)","(2, 2)","(2, 1)","(4, 3)","(0, 1)","(0, 4)","(2, 2)","(2, 1)","(4, 3)","(0, 1)","(0, 0)","(0, 3)","(3, 3)","(0, 0)","(2, 3)","(1, 0)","(0, 0)","(1, 3)","(2, 0)","(1, 4)"
1607.jpg,"(3, 1)","(0, 4)","(1, 2)","(4, 2)","(0, 0)","(2, 3)","(0, 0)","(1, 0)","(0, 0)","(1, 1)","(2, 3)","(0, 0)","(1, 0)","(0, 0)","(1, 1)","(4, 4)","(0, 2)","(0, 4)","(2, 1)","(4, 1)","(0, 3)","(0, 0)","(2, 2)","(1, 0)","(1, 4)"
1608.jpg,"(0, 4)","(0, 0)","(0, 0)","(2, 3)","(3, 3)","(0, 3)","(2, 1)","(3, 2)","(3, 1)","(4, 3)","(0, 3)","(2, 1)","(3, 2)","(3, 1)","(4, 3)","(1, 0)","(1, 1)","(4, 2)","(1, 3)","(4, 0)","(0, 0)","(0, 4)","(4, 1)","(2, 2)","(0, 2)"
1609.jpg,"(3, 3)","(3, 4)","(1, 1)","(0, 3)","(2, 2)","(1, 0)","(1, 4)","(2, 0)","(3, 4)","(2, 3)","(1, 0)","(1, 4)","(2, 0)","(3, 4)","(2, 3)","(2, 0)","(0, 0)","(1, 2)","(4, 2)","(1, 3)","(2, 1)","(0, 0)","(0, 4)","(0, 2)","(0, 1)"
1610.jpg,"(3, 3)","(3, 0)","(2, 2)","(2, 0)","(4, 2)","(2, 4)","(0, 0)","(0, 2)","(1, 3)","(3, 2)","(2, 4)","(0, 0)","(0, 2)","(1, 3)","(3, 2)","(2, 1)","(2, 3)","(1, 4)","(4, 3)","(4, 1)","(1, 2)","(0, 1)","(1, 1)","(3, 1)","(4, 0)"
1611.jpg,"(4, 2)","(0, 1)","(2, 2)","(1, 1)","(3, 1)","(1, 3)","(2, 3)","(0, 0)","(1, 0)","(3, 3)","(1, 3)","(2, 3)","(0, 0)","(1, 0)","(3, 3)","(4, 3)","(0, 3)","(0, 0)","(4, 2)","(3, 2)","(0, 2)","(4, 4)","(2, 1)","(4, 4)","(0, 0)"
1612.jpg,"(0, 0)","(0, 2)","(0, 0)","(3, 1)","(2, 3)","(2, 0)","(3, 3)","(2, 1)","(2, 4)","(2, 2)","(2, 0)","(3, 3)","(2, 1)","(2, 4)","(2, 2)","(1, 2)","(3, 4)","(3, 0)","(4, 1)","(3, 2)","(0, 0)","(0, 1)","(1, 1)","(0, 3)","(2, 0)"
1613.jpg,"(3, 4)","(2, 1)","(1, 2)","(2, 3)","(0, 2)","(0, 1)","(0, 0)","(0, 0)","(3, 0)","(4, 2)","(0, 1)","(0, 0)","(0, 0)","(3, 0)","(4, 2)","(3, 2)","(2, 4)","(1, 1)","(1, 4)","(0, 3)","(0, 0)","(0, 0)","(2, 0)","(0, 4)","(1, 3)"
1614.jpg,"(3, 2)","(1, 4)","(4, 1)","(4, 4)","(3, 1)","(2, 3)","(0, 1)","(2, 1)","(4, 0)","(4, 3)","(2, 3)","(0, 1)","(2, 1)","(4, 0)","(4, 3)","(1, 2)","(0, 0)","(1, 3)","(0, 2)","(0, 4)","(3, 0)","(3, 3)","(1, 1)","(2, 2)","(0, 0)"
1615.jpg,"(3, 4)","(1, 3)","(2, 0)","(4, 4)","(3, 0)","(3, 3)","(4, 0)","(0, 2)","(1, 2)","(1, 1)","(3, 3)","(4, 0)","(0, 2)","(1, 2)","(1, 1)","(3, 1)","(2, 1)","(0, 4)","(2, 4)","(3, 2)","(2, 3)","(0, 0)","(0, 3)","(4, 2)","(0, 1)"
1616.jpg,"(4, 4)","(2, 2)","(2, 1)","(0, 4)","(4, 3)","(0, 3)","(0, 0)","(4, 1)","(2, 4)","(0, 0)","(0, 3)","(0, 0)","(4, 1)","(2, 4)","(0, 0)","(2, 3)","(3, 1)","(1, 4)","(3, 2)","(4, 2)","(3, 0)","(3, 3)","(0, 0)","(0, 4)","(1, 3)"
1617.jpg,"(4, 4)","(4, 1)","(3, 0)","(3, 2)","(4, 0)","(2, 2)","(2, 3)","(1, 4)","(0, 0)","(0, 1)","(2, 2)","(2, 3)","(1, 4)","(0, 0)","(0, 1)","(1, 4)","(1, 1)","(2, 0)","(4, 2)","(1, 3)","(1, 0)","(2, 1)","(0, 3)","(4, 3)","(0, 2)"
1618.jpg,"(3, 3)","(4, 2)","(2, 4)","(0, 3)","(1, 1)","(0, 0)","(3, 1)","(0, 0)","(1, 2)","(4, 4)","(0, 0)","(3, 1)","(0, 0)","(1, 2)","(4, 4)","(1, 3)","(0, 0)","(2, 3)","(4, 3)","(0, 0)","(0, 2)","(0, 1)","(2, 1)","(0, 3)","(2, 2)"
1619.jpg,"(2, 1)","(3, 0)","(0, 4)","(1, 4)","(2, 3)","(1, 4)","(1, 2)","(2, 2)","(1, 3)","(4, 0)","(1, 4)","(1, 2)","(2, 2)","(1, 3)","(4, 0)","(0, 3)","(0, 0)","(0, 0)","(4, 4)","(1, 1)","(4, 2)","(0, 2)","(3, 2)","(3, 3)","(0, 1)"
1620.jpg,"(4, 4)","(0, 0)","(3, 1)","(3, 3)","(2, 1)","(0, 1)","(0, 3)","(3, 4)","(4, 2)","(2, 2)","(0, 1)","(0, 3)","(3, 4)","(4, 2)","(2, 2)","(4, 3)","(1, 3)","(1, 1)","(3, 0)","(1, 2)","(2, 3)","(4, 1)","(1, 0)","(0, 2)","(0, 0)"
1621.jpg,"(4, 4)","(3, 1)","(1, 4)","(2, 2)","(0, 0)","(0, 2)","(2, 0)","(4, 3)","(2, 3)","(0, 4)","(0, 2)","(2, 0)","(4, 3)","(2, 3)","(0, 4)","(1, 3)","(0, 0)","(3, 3)","(0, 3)","(4, 1)","(2, 4)","(2, 1)","(1, 2)","(0, 1)","(3, 2)"
1622.jpg,"(4, 3)","(2, 4)","(1, 3)","(0, 1)","(0, 0)","(0, 0)","(2, 1)","(3, 3)","(2, 3)","(0, 4)","(0, 0)","(2, 1)","(3, 3)","(2, 3)","(0, 4)","(1, 4)","(0, 0)","(3, 1)","(4, 1)","(0, 3)","(4, 4)","(0, 0)","(4, 3)","(1, 2)","(2, 2)"
1623.jpg,"(4, 1)","(4, 3)","(4, 2)","(1, 4)","(2, 0)","(0, 1)","(2, 1)","(3, 3)","(2, 4)","(3, 2)","(0, 1)","(2, 1)","(3, 3)","(2, 4)","(3, 2)","(1, 0)","(1, 1)","(3, 1)","(1, 2)","(2, 2)","(0, 3)","(0, 4)","(0, 0)","(3, 4)","(2, 3)"
1624.jpg,"(2, 1)","(4, 4)","(0, 0)","(0, 2)","(4, 1)","(2, 4)","(3, 2)","(4, 0)","(1, 2)","(1, 4)","(2, 4)","(3, 2)","(4, 0)","(1, 2)","(1, 4)","(1, 0)","(1, 1)","(0, 0)","(2, 0)","(3, 1)","(1, 3)","(0, 1)","(2, 3)","(0, 3)","(4, 3)"
1625.jpg,"(1, 4)","(2, 2)","(4, 2)","(1, 4)","(0, 3)","(3, 0)","(2, 1)","(3, 1)","(1, 1)","(3, 2)","(3, 0)","(2, 1)","(3, 1)","(1, 1)","(3, 2)","(4, 1)","(1, 0)","(2, 3)","(0, 0)","(4, 3)","(1, 3)","(0, 0)","(4, 4)","(1, 2)","(3, 3)"
1626.jpg,"(4, 3)","(1, 2)","(4, 0)","(0, 2)","(1, 0)","(2, 0)","(2, 4)","(4, 1)","(2, 3)","(2, 1)","(2, 0)","(2, 4)","(4, 1)","(2, 3)","(2, 1)","(3, 3)","(0, 1)","(3, 1)","(0, 0)","(4, 4)","(4, 2)","(2, 2)","(0, 3)","(1, 1)","(1, 4)"
1627.jpg,"(4, 3)","(4, 4)","(2, 3)","(4, 2)","(3, 0)","(4, 1)","(3, 2)","(1, 4)","(4, 0)","(0, 0)","(4, 1)","(3, 2)","(1, 4)","(4, 0)","(0, 0)","(3, 4)","(3, 3)","(1, 2)","(0, 4)","(2, 1)","(1, 0)","(0, 3)","(1, 3)","(0, 1)","(1, 1)"
1628.jpg,"(4, 3)","(3, 2)","(0, 0)","(1, 0)","(3, 4)","(4, 4)","(0, 0)","(1, 1)","(0, 3)","(4, 1)","(4, 4)","(0, 0)","(1, 1)","(0, 3)","(4, 1)","(3, 1)","(2, 2)","(2, 3)","(2, 4)","(1, 0)","(1, 4)","(1, 2)","(2, 1)","(0, 0)","(1, 3)"
1629.jpg,"(0, 2)","(3, 1)","(0, 4)","(1, 3)","(0, 0)","(4, 4)","(2, 0)","(0, 0)","(0, 1)","(2, 1)","(4, 4)","(2, 0)","(0, 0)","(0, 1)","(2, 1)","(4, 2)","(2, 3)","(0, 4)","(0, 3)","(1, 4)","(4, 1)","(1, 2)","(2, 2)","(4, 3)","(0, 0)"
1630.jpg,"(3, 1)","(2, 2)","(3, 0)","(3, 0)","(0, 1)","(3, 2)","(3, 4)","(0, 3)","(0, 2)","(0, 0)","(3, 2)","(3, 4)","(0, 3)","(0, 2)","(0, 0)","(2, 3)","(1, 3)","(4, 0)","(0, 4)","(1, 2)","(3, 3)","(4, 2)","(4, 1)","(2, 1)","(4, 3)"
